Variant,Metric,Mean,Std,CI95_L,CI95_U,N
Full,HitRate@25,0.4,0.5477225575051662,-0.280087380658257,1.0800873806582572,5
Full,TopKOverlap@25,0.016,0.021908902300206645,-0.011203495226330278,0.04320349522633028,5
Full,Regret@25,0.42418666195869453,0.05729807082900189,0.35304171024379344,0.4953316136735956,5
Full,NDCG@50,0.5471247736171806,0.03690958131360823,0.5012954753112988,0.5929540719230624,5
Full,MAP@50,0.0030031105431563097,0.005170043290706395,-0.003416346080068751,0.00942256716638137,5
Full,Recall@50,0.028000000000000004,0.017888543819998316,0.005788439158417619,0.05021156084158239,5
Full,HitRate@50,1.0,0.0,1.0,1.0,5
Full,TopKOverlap@50,0.028000000000000004,0.017888543819998316,0.005788439158417619,0.05021156084158239,5
Full,Regret@50,0.41050666561722765,0.024191512841573497,0.38046893505976176,0.44054439617469354,5
Full,NDCG@100,0.5696654521357659,0.03241860604308784,0.5294124361401127,0.6099184681314191,5
Full,MAP@100,0.006550119175577405,0.00327708760754124,0.0024810774743337337,0.010619160876821077,5
Full,Recall@100,0.07200000000000001,0.013038404810405297,0.05581068215291295,0.08818931784708707,5
Full,HitRate@100,1.0,0.0,1.0,1.0,5
Full,TopKOverlap@100,0.07200000000000001,0.013038404810405297,0.05581068215291295,0.08818931784708707,5
Full,Regret@100,0.36427777707576753,0.02395884794489897,0.3345289381441482,0.39402661600738687,5
Full,NDCG_full,0.9189282007959617,0.005815592282881492,0.9117071892300761,0.9261492123618473,5
Full,NDCG@10pct,0.5706690136918379,0.030523005258777675,0.5327696969450294,0.6085683304386463,5
Full,P@10pct,0.07346734673467346,0.01765829436706267,0.051541678349407385,0.09539301511993954,5
Full,Spearman,-0.005303814730073223,0.04104880387547678,-0.05627263667157999,0.045665007211433545,5
Full,KendallTau,-0.0036805982758477797,0.02734640712903172,-0.03763564748818929,0.030274450936493728,5
Full,PairwiseAccuracy,0.495,0.014576693726630872,0.4769006441867997,0.5130993558132002,5
