Method,Metric,Mean,Std,CI95_L,CI95_U,N
Random,NDCG@10pct,0.5864616654671039,0.021320981256489565,0.5599881706345435,0.6129351602996642,5
Random,P@10pct,0.10717071707170718,0.02871633537443781,0.07151467727692248,0.14282675686649188,5
Random,Spearman,-0.009799572567923775,0.028412524828584914,-0.04507838174564831,0.025479236609800754,5
Random,KendallTau,-0.006730533395532795,0.019103614856477765,-0.03045080419837185,0.016989737407306263,5
Random,PairwiseAccuracy,0.49448,0.012028798776270224,0.4795442736178677,0.5094157263821323,5
RandomForestRanker,NDCG@10,0.5654204318265286,0.0650232146822853,0.48468344710806033,0.6461574165449968,5
RandomForestRanker,MAP@10,0.0,0.0,0.0,0.0,5
RandomForestRanker,Recall@10,0.0,0.0,0.0,0.0,5
RandomForestRanker,HitRate@10,0.0,0.0,0.0,0.0,5
RandomForestRanker,TopKOverlap@10,0.0,0.0,0.0,0.0,5
RandomForestRanker,Regret@10,0.41751110143959524,0.05068449348792831,0.3545779906084414,0.48044421227074907,5
RandomForestRanker,NDCG@25,0.5674013444526015,0.03733644306415333,0.5210420272788576,0.6137606616263453,5
RandomForestRanker,MAP@25,0.0025714285714285717,0.0036631089728451673,-0.0019769219616504507,0.007119779104507594,5
RandomForestRanker,Recall@25,0.024,0.03577708763999664,-0.020423121683164777,0.06842312168316478,5
RandomForestRanker,HitRate@25,0.4,0.5477225575051662,-0.280087380658257,1.0800873806582572,5
RandomForestRanker,TopKOverlap@25,0.024,0.03577708763999664,-0.020423121683164777,0.06842312168316478,5
RandomForestRanker,Regret@25,0.40087110418081295,0.023471436507825443,0.37172746648292054,0.43001474187870536,5
RandomForestRanker,NDCG@50,0.584456819154669,0.043550225549820215,0.5303820719758033,0.6385315663335346,5
RandomForestRanker,MAP@50,0.007094819405829222,0.004497840378885768,0.0015100129376995758,0.012679625873958869,5
RandomForestRanker,Recall@50,0.064,0.03847076812334269,0.016232232238000306,0.1117677677619997,5
RandomForestRanker,HitRate@50,0.8,0.4472135954999579,0.24471097896044036,1.3552890210395598,5
RandomForestRanker,TopKOverlap@50,0.064,0.03847076812334269,0.016232232238000306,0.1117677677619997,5
RandomForestRanker,Regret@50,0.3674222188740969,0.03194301796876577,0.3277597234683044,0.40708471427988935,5
RandomForestRanker,NDCG@100,0.6019327232442416,0.025295790139920164,0.570523851321385,0.6333415951670983,5
RandomForestRanker,MAP@100,0.015945798703081097,0.007485147413157307,0.0066517606389156145,0.02523983676724658,5
RandomForestRanker,Recall@100,0.11399999999999999,0.03781534080237807,0.06704605274588121,0.16095394725411877,5
RandomForestRanker,HitRate@100,1.0,0.0,1.0,1.0,5
RandomForestRanker,TopKOverlap@100,0.11399999999999999,0.03781534080237807,0.06704605274588121,0.16095394725411877,5
RandomForestRanker,Regret@100,0.33324444235861306,0.01404460083646083,0.31580576713083713,0.350683117586389,5
RandomForestRanker,NDCG_full,0.9225098963805735,0.004130593177679317,0.917381087540623,0.9276387052205239,5
RandomForestRanker,NDCG@10pct,0.602589863016761,0.02731140709636922,0.5686782720849125,0.6365014539486095,5
RandomForestRanker,P@10pct,0.11517151715171517,0.03772045270515892,0.06833538903177147,0.16200764527165887,5
RandomForestRanker,Spearman,0.017317051950791414,0.007674027529060941,0.007788488246731836,0.026845615654850993,5
RandomForestRanker,KendallTau,0.011303904432924403,0.005375820157368644,0.004628942082701651,0.017978866783147154,5
RandomForestRanker,PairwiseAccuracy,0.5017600000000001,0.0051252317020794415,0.4953961843130754,0.5081238156869248,5
RidgeRanker,NDCG@10,0.5544949622361077,0.03348780202801577,0.5129143640789454,0.59607556039327,5
RidgeRanker,MAP@10,0.0,0.0,0.0,0.0,5
RidgeRanker,Recall@10,0.0,0.0,0.0,0.0,5
RidgeRanker,HitRate@10,0.0,0.0,0.0,0.0,5
RidgeRanker,TopKOverlap@10,0.0,0.0,0.0,0.0,5
RidgeRanker,Regret@10,0.41424443334341055,0.021655613175577324,0.38735543810426903,0.44113342858255206,5
RidgeRanker,NDCG@25,0.5547099286022548,0.04510281845034436,0.4987073827149416,0.610712474489568,5
RidgeRanker,MAP@25,0.0,0.0,0.0,0.0,5
RidgeRanker,Recall@25,0.0,0.0,0.0,0.0,5
RidgeRanker,HitRate@25,0.0,0.0,0.0,0.0,5
RidgeRanker,TopKOverlap@25,0.0,0.0,0.0,0.0,5
RidgeRanker,Regret@25,0.4073599939942361,0.046747536948212,0.3493152603609409,0.4654047276275313,5
RidgeRanker,NDCG@50,0.5700256537361057,0.03556640285888111,0.5258641317606215,0.6141871757115899,5
RidgeRanker,MAP@50,0.009571856039466562,0.0060554030156926494,0.0020530801202664813,0.01709063195866664,5
RidgeRanker,Recall@50,0.064,0.03847076812334269,0.016232232238000306,0.1117677677619997,5
RidgeRanker,HitRate@50,0.8,0.4472135954999579,0.24471097896044036,1.3552890210395598,5
RidgeRanker,TopKOverlap@50,0.064,0.03847076812334269,0.016232232238000306,0.1117677677619997,5
RidgeRanker,Regret@50,0.3786177745461464,0.03712289512644053,0.3325236121585512,0.42471193693374165,5
RidgeRanker,NDCG@100,0.5833652935371754,0.02384110758726758,0.5537626485687626,0.6129679385055882,5
RidgeRanker,MAP@100,0.016853168634442674,0.006539079482362981,0.00873382905979964,0.024972508209085708,5
RidgeRanker,Recall@100,0.10200000000000001,0.021679483388678797,0.07508136597662095,0.12891863402337905,5
RidgeRanker,HitRate@100,1.0,0.0,1.0,1.0,5
RidgeRanker,TopKOverlap@100,0.10200000000000001,0.021679483388678797,0.07508136597662095,0.12891863402337905,5
RidgeRanker,Regret@100,0.3497066644243896,0.016284011172007132,0.3294873940057604,0.3699259348430188,5
RidgeRanker,NDCG_full,0.9197464215049329,0.003747986386026408,0.9150926817436461,0.9244001612662197,5
RidgeRanker,NDCG@10pct,0.5826437500063676,0.02510802846863375,0.5514680149909899,0.6138194850217453,5
RidgeRanker,P@10pct,0.10135013501350136,0.021229534477229885,0.07499018635449939,0.12771008367250333,5
RidgeRanker,Spearman,-0.014093120054339247,0.021152708966161688,-0.04035767724210423,0.01217143713342573,5
RidgeRanker,KendallTau,-0.009436492020017617,0.014155343724872477,-0.027012672705391372,0.008139688665356137,5
RidgeRanker,PairwiseAccuracy,0.48832000000000003,0.00857741219716065,0.4776697360770318,0.4989702639229683,5
ShallowTreeRanker,NDCG@10,0.5331181584483703,0.12244390560839637,0.3810839690549643,0.6851523478417763,5
ShallowTreeRanker,MAP@10,0.005,0.011180339887498949,-0.008882225525988992,0.018882225525988994,5
ShallowTreeRanker,Recall@10,0.02,0.044721359549995794,-0.03552890210395597,0.07552890210395598,5
